Quality Attribute,Resource utilization,Co-existence,Installability,Availability,Authenticity,Appropriateness recognizability,User interface aesthetics,Time behaviour,Functional completeness,Modifiability,Learnability,Recoverability,Operability,Modularity,Maturity,Functional correctness,Confidentiality,Functional appropriateness,Adaptability,Capacity,Reusability,Fault tolerance,Integrity,Accessibility,User error protection,Testability,Analysability,Interoperability,Accountability,Non-repudiation,Replaceability
amazon s3,"0|2|0
0.5","1|17|3
0.53","0|7|0
0.5","0|7|1
0.55","0|5|1
0.56","1|7|6
0.63","0|1|0
0.5","2|14|11
0.62",,,"0|2|0
0.5","1|22|3
0.53",,,"0|4|3
0.65",,"1|28|2
0.51",,,"0|7|5
0.65",,"1|15|2
0.52","0|10|2
0.56",,,,,,,,
amazon web service,"0|1|0
0.5","0|0|2
0.86","0|1|0
0.5","0|1|0
0.5",,"0|1|0
0.5",,"0|1|1
0.68",,,"0|1|0
0.5","0|1|0
0.5",,,"0|1|0
0.5",,"1|0|0
0.14",,,"0|0|1
0.86",,,,"0|1|0
0.5",,,,,,,
anaconda,"7|26|4
0.47","15|23|14
0.49","48|272|47
0.5","7|6|1
0.35","0|1|1
0.68","1|11|4
0.57","5|35|14
0.56","6|18|10
0.54","0|1|0
0.5","0|1|3
0.77","2|6|3
0.53","1|7|0
0.46","0|2|18
0.82","1|0|0
0.14","3|4|5
0.56",,"1|2|0
0.38",,"1|2|2
0.57","1|2|4
0.65",,"0|0|3
0.86","1|3|1
0.5",,,"1|0|0
0.14",,,,,
anaconda 3,,,"0|0|1
0.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,
apache-kafka,"0|2|2
0.68","0|20|15
0.65","0|1|7
0.81","1|1|2
0.59","0|1|0
0.5","0|1|0
0.5","3|5|5
0.56","5|31|33
0.65",,"2|2|3
0.55","0|2|2
0.68","0|1|1
0.68","3|3|12
0.68","0|1|0
0.5","0|3|22
0.82","0|1|0
0.5",,"0|1|0
0.5","0|1|0
0.5","1|14|18
0.69",,"0|7|12
0.73","2|0|3
0.57",,"0|1|0
0.5",,,"0|0|1
0.86",,,
apache-spark,,,,,,,,"1|1|0
0.32",,,,,,,,,,,,,,,,,,,,,,,
apache-tomcat,"1|2|0
0.38","1|6|21
0.76","1|2|27
0.81","4|1|8
0.61","0|0|1
0.86",,"6|6|2
0.4","7|12|11
0.55",,"1|1|7
0.74","1|2|1
0.5","0|2|0
0.5","2|1|24
0.79",,"1|1|15
0.8",,"1|0|0
0.14",,"1|0|1
0.5","1|0|1
0.5",,"1|3|2
0.56",,,"0|1|0
0.5",,,,,,
aws-amazon-dynamodb,"0|0|4
0.86","3|28|54
0.72","1|3|20
0.79","4|29|32
0.66","0|4|0
0.5","1|3|0
0.41","9|10|12
0.53","20|71|182
0.71",,"0|14|15
0.69","6|8|5
0.48","7|25|29
0.63","6|12|81
0.77",,"2|15|51
0.76",,"2|19|5
0.54",,"0|1|2
0.74","22|89|100
0.63","0|1|0
0.5","2|10|16
0.68","2|14|3
0.52","0|3|0
0.5",,,,,"0|0|1
0.86",,
aws-cloud,"0|0|1
0.86","0|4|8
0.74","0|2|6
0.77","0|4|12
0.77",,"0|0|4
0.86","4|4|7
0.57","1|3|7
0.7",,"0|2|7
0.78","1|1|6
0.72","0|1|1
0.68","0|1|19
0.84",,"0|4|20
0.8",,"3|2|3
0.5",,,"3|7|13
0.66","0|1|0
0.5","0|0|4
0.86","0|1|0
0.5","0|2|0
0.5",,,,,,,
aws-databases,,,,,,,,,,,"1|0|0
0.14",,"0|0|1
0.86",,,,,,,,,,,,,,,,,,
azure-application-gateway,,"4|9|15
0.64","0|1|7
0.81","4|12|6
0.53",,"0|0|1
0.86","2|6|6
0.6","3|3|13
0.69",,"1|3|2
0.56","0|2|1
0.62","0|6|0
0.5","1|3|23
0.79",,"1|6|4
0.6",,"0|11|9
0.66",,"0|0|3
0.86","1|5|11
0.71",,"2|6|1
0.46","0|1|0
0.5",,,,,,,,
azure-app-service,"0|1|0
0.5","0|3|5
0.72","0|0|4
0.86","0|1|5
0.8",,"0|1|1
0.68","2|1|1
0.41","0|1|0
0.5",,"0|1|1
0.68","0|0|1
0.86","0|0|1
0.86","0|0|1
0.86",,"0|0|5
0.86",,"0|1|0
0.5",,"0|1|0
0.5","0|0|2
0.86",,"0|0|2
0.86","0|1|0
0.5",,,,,,,,
azure-archive-storage,"0|1|0
0.5","0|1|3
0.77","0|0|1
0.86","0|0|3
0.86","0|1|0
0.5",,"0|0|3
0.86","2|7|10
0.65",,"0|1|3
0.77","0|1|0
0.5","0|7|8
0.69","1|0|8
0.78",,"0|4|6
0.72",,"0|2|2
0.68",,,"0|2|6
0.77",,,"0|1|0
0.5",,,,,,,,
azure-blob-storage,,"1|5|6
0.65","0|1|1
0.68","0|8|2
0.57",,"0|1|0
0.5","1|1|1
0.5","4|4|18
0.69",,"0|0|1
0.86","0|0|2
0.86","7|20|5
0.48","1|1|7
0.74",,"0|4|4
0.68",,"1|1|3
0.64",,,"0|7|8
0.69",,"0|5|1
0.56","0|1|1
0.68",,,,"0|1|0
0.5",,,,
azure-cloud-services,,"0|1|5
0.8",,"1|2|0
0.38","0|1|1
0.68",,"0|1|1
0.68","0|0|5
0.86","0|0|1
0.86","0|1|4
0.79","0|0|1
0.86","0|1|1
0.68","1|1|5
0.71",,"0|1|3
0.77",,"0|0|2
0.86",,,"0|2|4
0.74",,"1|0|0
0.14","0|0|1
0.86","0|1|1
0.68",,,,,,,
azure-container-instances,,"0|0|1
0.86",,"0|0|2
0.86",,,"1|0|0
0.14","0|0|2
0.86",,,,,"1|0|3
0.68",,"1|0|0
0.14",,,,,"0|0|1
0.86",,"1|0|0
0.14",,,,,,,,,
azure-container-registry,,"1|4|11
0.72","0|0|3
0.86","0|0|2
0.86","0|0|1
0.86",,"0|0|1
0.86","3|0|4
0.55",,"0|0|2
0.86","0|1|0
0.5",,"1|1|12
0.78",,"0|0|7
0.86",,"1|2|3
0.62",,,"0|1|1
0.68",,"0|0|2
0.86","1|1|3
0.64",,,,,,,,
azure-cosmos-db,,"0|3|2
0.64","1|1|2
0.59","2|6|3
0.53",,,"0|2|0
0.5","1|8|8
0.65",,"1|2|0
0.38","1|4|0
0.43","1|1|0
0.32","1|0|8
0.78",,"0|0|1
0.86",,"0|0|1
0.86",,,"3|1|5
0.58",,"1|2|1
0.5","1|0|0
0.14","0|1|0
0.5",,,,,,,
azure-database-for-postgresql,,"0|0|3
0.86","0|1|1
0.68",,,"1|0|0
0.14",,"2|3|3
0.55",,"0|2|2
0.68",,"0|0|2
0.86","0|0|3
0.86",,,,"0|1|0
0.5",,"0|0|1
0.86","0|0|2
0.86",,,"0|0|1
0.86",,,,,,,,
azure-disk-storage,,,,"0|0|2
0.86",,,"1|0|2
0.62","1|2|3
0.62",,"0|0|1
0.86",,"0|1|0
0.5","0|0|5
0.86",,"0|0|2
0.86",,"0|0|2
0.86",,,"0|0|2
0.86",,,,,,,,,,,
azure-files,,"2|2|3
0.55",,"0|5|4
0.66",,,"0|0|1
0.86","1|2|8
0.73",,"0|2|0
0.5",,"1|9|3
0.56","2|2|5
0.62",,"0|0|5
0.86",,"0|3|2
0.64",,"0|1|0
0.5","0|1|3
0.77",,"0|2|2
0.68","0|4|1
0.57","0|1|0
0.5",,,,"0|1|0
0.5",,,
azure-functions,"1|4|1
0.5","0|16|27
0.73","0|0|7
0.86","2|3|9
0.68","0|0|1
0.86","1|0|1
0.5","2|0|2
0.5","14|18|9
0.46","0|1|0
0.5","0|9|11
0.7","4|3|0
0.29","0|4|1
0.57","0|2|11
0.8",,"1|0|9
0.79",,"0|1|1
0.68",,,"1|6|17
0.74","0|1|1
0.68","0|1|3
0.77","0|1|0
0.5","0|0|1
0.86",,,"0|1|0
0.5",,,,
azure-fxt-edge-filer,,"0|0|1
0.86","0|0|1
0.86","0|0|1
0.86",,,"1|0|1
0.5","1|5|10
0.7",,"0|1|1
0.68",,,"0|0|1
0.86",,"0|0|1
0.86",,,,,"0|3|3
0.68",,,,,,,"1|0|0
0.14",,,,
azure-kubernetes-service-aks,,"1|0|1
0.5","0|1|0
0.5","0|1|1
0.68","1|1|0
0.32",,,"0|1|1
0.68",,"1|0|1
0.5",,,"0|1|3
0.77","1|0|0
0.14","0|0|3
0.86",,,,,,,"0|0|2
0.86",,,,,,,,,
azure-linux-virtual-machines,"0|1|0
0.5","0|2|8
0.79","0|0|4
0.86","0|0|1
0.86",,,"0|1|0
0.5","0|2|5
0.76","0|0|1
0.86","0|0|2
0.86","0|1|0
0.5",,"0|0|6
0.86",,"0|0|1
0.86",,"0|0|1
0.86",,,"0|4|3
0.65","1|0|0
0.14","0|0|1
0.86",,"0|1|0
0.5",,,,,,,
azure-load-balancer,,"0|1|1
0.68","0|0|1
0.86","1|2|1
0.5",,,,"0|1|2
0.74",,,,,"1|0|1
0.5",,"0|0|1
0.86",,,,,,,"0|0|1
0.86","0|0|2
0.86",,,,,,,,
azure-redis-cache,,"0|2|4
0.74","0|0|4
0.86","0|1|0
0.5",,,,"2|3|3
0.55",,,,"1|0|0
0.14","1|0|2
0.62",,"0|1|3
0.77",,,,,"0|2|0
0.5",,"0|1|0
0.5",,,,,,,,,
azure-service-fabric,,"0|1|2
0.74","0|0|2
0.86","0|0|1
0.86",,,"0|1|1
0.68","1|1|3
0.64",,,,"0|0|1
0.86","0|1|4
0.79",,,,"0|1|0
0.5",,,"0|1|2
0.74",,,"0|1|0
0.5",,,,,,,,
azure-sql-database,"2|4|2
0.5","3|10|15
0.65","0|1|11
0.83","2|8|21
0.72","3|5|0
0.36","0|1|0
0.5","4|1|7
0.59","12|22|27
0.59",,"1|5|11
0.71","0|1|3
0.77","2|17|17
0.65","0|1|23
0.85",,"1|3|17
0.77",,"0|9|9
0.68",,"0|0|1
0.86","4|21|16
0.61",,"1|1|4
0.68","0|7|4
0.63","0|0|1
0.86",,,,,"0|3|0
0.5",,
azure-stack,,"1|5|3
0.58","0|0|1
0.86","0|2|1
0.62",,"0|1|0
0.5",,"0|0|1
0.86",,"0|1|1
0.68","0|0|1
0.86","0|2|0
0.5","0|2|3
0.72",,"0|1|4
0.79",,"0|1|0
0.5",,,"1|0|1
0.5",,"0|0|1
0.86","0|1|0
0.5",,,,,,,,
azure-storage-explorer,,"0|2|6
0.77","0|0|2
0.86","3|0|1
0.32","0|1|1
0.68","0|1|0
0.5","3|2|6
0.6","6|2|4
0.44",,"0|1|0
0.5","1|0|1
0.5","1|1|1
0.5","0|5|24
0.8",,"0|1|3
0.77",,"0|1|1
0.68",,"0|0|1
0.86","0|1|1
0.68",,"0|1|1
0.68","0|2|1
0.62","0|1|0
0.5",,,,,,,
azure-storsimple,"0|0|1
0.86","0|3|1
0.59","0|0|1
0.86","1|1|0
0.32",,"0|0|1
0.86","0|2|1
0.62","1|3|12
0.75","0|1|0
0.5",,"0|0|1
0.86","4|14|5
0.52","0|0|4
0.86",,"0|1|3
0.77",,,,,"0|0|4
0.86",,"0|2|0
0.5","0|1|0
0.5","0|0|1
0.86",,,,,,,
azure-traffic-manager,,,"0|0|1
0.86","1|8|3
0.56",,,,"0|5|6
0.7",,"0|1|1
0.68","1|0|0
0.14","0|2|1
0.62",,,"0|1|1
0.68",,,,,"0|1|0
0.5",,"0|2|2
0.68",,,,,,,,,
azure-virtual-machines,"2|7|4
0.56","0|13|10
0.66","0|2|9
0.79","3|13|12
0.62","0|0|1
0.86","0|1|1
0.68","2|2|7
0.66","2|15|19
0.67",,"1|9|12
0.68","0|1|0
0.5","1|17|6
0.58","1|3|14
0.76",,"1|0|12
0.8",,"0|5|0
0.5",,,"0|10|20
0.74",,"0|3|3
0.68",,,,,"0|1|0
0.5",,,,
